Abe.	2014	Toronto, ON, Canada	Marketplace -	Individuals	Legal Service Using Tech	Find lawyers recommended by experienced entrepreneurs.	http://www.abelegal.com/	https://twitter.com/abe_legal	n/a	n/a	0	0	web, find-a-lawyer, entrepreneur, recommendation
AfterIGo	2013	San Francisco, CA, USA	Document Automation -	Individuals	Legal Service Using Tech	Be a hero to those you love	http://www.afterigo.com/	https://twitter.com/AfterIGo	https://angel.co/after-i-go-inc	n/a	0	0	wills, estates
AfterSteps	2011	New York, NY, USA	Document Automation -	Individuals	Legal Service Using Tech	Online end-of-life planning platform.	http://www.aftersteps.com	https://twitter.com/AfterStepsCo	https://angel.co/aftersteps	http://www.crunchbase.com/organization/aftersteps		http://www.facebook.com/AfterStepsCo	
AgileLaw	2011	Austin, TX, USA	Practice Management -	Service Providers	Legal Tech	Paperless Depositions for Attorneys	http://www.agilelaw.com/	https://twitter.com/agilelaw	n/a	http://www.crunchbase.com/organization/agilelaw	http://www.linkedin.com/company/agilelaw	http://www.facebook.com/agilelaw	depositions
Ampulse	2016	Golden, CO, USA	Legal Education -	Individuals	Legal Service Using Tech	Legal Education	ampulse.com		https://angel.co/ampulse?utm_source=companies			https://www.facebook.com/314498662070008	legal education
ASCAPPE	2015	Houston, TX, USA	Document Automation -	Individuals	Legal Tech	It's a web and mobile application that makes it easy to keep track of structural compliance requirements like probation officer fees, hearings, community service hours/confirmations, bail requirements and more.	ascappe.com		https://angel.co/ascappe-1?utm_source=companies		0	0	compliance, parole, probation
Align Matters	2015	Los Angeles, CA, USA	Practice Management -	Companies	Legal Tech	GPS For Legal	alignmatters.com						law-firms, workflow
Arbiclaims	2015	Los Angeles, CA, USA	Online Dispute Resolution -	Individuals	Legal Service Using Tech	We replace small claims court with online arbitration for <$5-10K legal claims. In doing so we provide our customers with a quicker/better alternative to small claims court.	Arbiclaims.com		https://angel.co/arbiclaims?utm_source=companies		0	0	arbitration, dispute resolution, odr
Caseflex	2012	New York, NY, USA	Legal Research -  Docket retrieval	Service Providers	Legal Service Using Tech	Next Generation Legal Research	http://caseflex.com/	n/a	n/a	http://www.crunchbase.com/organization/litigain	0	0	research
AdviseHub	2013	Sunnyvale, CA, USA	Marketplace -	Individuals	Legal Service Using Tech	AdviseHub makes immigration and visas faster, easier and cheaper. Our platform is an end-to-end, client centered immigration planning and management system.	advisehub.com	https://twitter.com/advise_hub	https://angel.co/advisehub?utm_source=companies		http://www.linkedin.com/company/advisehub	http://www.facebook.com/ImmiAdviseHub	immigration, lawyer marketplace
Advocatalog	2011	Barcelona, Spain	Marketplace -	Individuals	Legal Service Using Tech	Advocatalog is a marketplace for lawyers which will make the legal sector more transparent and accessible to the consumer. It will offer access to lawyers from 10 Euros.	http://www.advocatalog.com/		https://angel.co/advocatalog-1?utm_source=companies				
