JustEase	{'category': 'MarketPlace', 'description': 'JustEase is a crowdfunding platform designed specifically for legal case.', 'tags': 'Crowdfunding, Legal, Legal Tech, Online Portals'}
Functional Imperative	{'category': 'MarketPlace', 'description': 'Functional Imperative is a boutique software development firm that works in the legal space.  We work with in-house counsel, law firms, and legaltech companies to build highly targeted solutions.  '}
Stanford Securities Litigation Analytics	{'category': 'Legal Research', 'description': 'Explore a database of over 2700 federal securities class actions filed since January 1, 2000. Read the specifics of a particular case, or query the entire database across over 40 filters with aggregate statistics and interactive data visualizations as the result.'}
VisiRule	{'category': 'E-Discovery', 'description': 'VisiRule is a graphical tool for non-programmers to develop and deliver rule-based and expert systems simply by drawing their decision logic.'}
BitTitan	{'category': 'Document Automation', 'description': 'BitTitan revolutionizes cloud services enablement and managed services automation, delivering solutions that empower service providers to sell, onboard, and service cloud technology.  BitTitan® empowers IT services professionals to properly assess, deploy, and manage technology solutions in a cloud-first world. With BitTitan MSPComplete®, an IT services automation platform featuring BitTitan’s globally renowned MigrationWiz® solution, IT professionals can organize, optimize, and automate service delivery. '}
Coherent Knowledge	{'category': 'Document Automation', 'description': 'Coherent Knowledge was created to deliver the benefits of recent breakthrough research in logical, linguistic, and semantic technologies to markets that need to incorporate larger amounts of increasingly dynamic knowledge in systems that reliably and robustly answer questions, support decisions, and comply with governing doctrine.'}
Riverview Law	{'category': 'Document Automation', 'description': 'Riverview Law, an innovative legal services firm.', 'tags': 'Advice, Information Technology, Legal, Legal Tech, Software'}
TrustedHeir	{'category': 'Practice Management'}
elementaryIP	{'category': 'Document Automation', 'description': 'Deep learning AI for patent search and analytics'}
Xcential Legislative Technologies	{'category': 'Document Automation', 'description': 'Xcential provides SaaS-based solutions enable legislatures and regulatory to more efficiently create/publish legislation and regulations.'}
Directive Communication Systems, Inc.	{'category': 'Practice Management', 'description': 'Technology has made lives easier, however, for trusts and estates it has created a growing $7 trillion problem. More specifically, for estate professionals website owners and government agencies, it poses new and significant challenges to existing practice and protocols. The average person now has over 130 accounts including financial, social media, email, cloud based storage, eCommerce, cryptocurrency and many more. With so many accounts and no real way to capture our online footprint, it’s easy for digital property and information to be hidden, lost or forgotten.\xa0 Unlike tangible assets, digital property can not simply be accessed for review or passed on to heirs. Legal professionals and loved ones face a large and intricate maze of privacy policies, account holder agreements (TOSA) and governmental statutes designed to protect account holder privacy.\xa0Between digital assets, statutory and contractual mandates, and the sheer volume of accounts, the industry needs a solution now.   \xa0 Directive Communication Systems, (DCS), where technology meets the outdated world of Trusts and Estates. DCS is the first and only technology based solution streamlining and networking digital asset and online account directives management. DCS provides an easy use to platform for identifying, organizing and cataloging all types of digital assets in preparation for estate affairs. DCS facilitates the process for ALL stakeholders with a platform that captures an individual’s accounts and directives now and into the future, making the service invaluable to clients for their lifetime. DCS simplifies estate administration by handling the communication of final wishes to site owners. In addition to NOT taking account passwords nor knowing the contents of an account, DCS is compliant to site owner Terms of Service Agreements and existing statutes, reducing costs and frustration. For website owners, DCS delivers improved efficiency for account holder death process management with streamlined notifications and online options administration. Ultimately, DCS will deliver a complete data communication network connecting all stakeholders including website owners, estates and government, speeding up a several month process to mere minutes.  ', 'tags': 'rufadaa, estate planning, digital assets, trusts & estates, estate planning, trusts'}
Class Action App	{'category': 'Document Automation', 'description': 'Automated class-action claims processor, including eligibility determination, filing, monitoring, and claims payment.'}
Cognate	{'category': 'Document Automation', 'description': 'New way to record and prove trademark use.'}
SirionLabs	{'category': 'Document Automation', 'description': 'Post-signature contract management platform'}
smartwork solutions GmbH	{'category': 'Document Automation', 'description': 'SMASHDOCs is a web-based word processor that makes it extremely easy and fast to create, revise and negotiate legal documents.  Smart version control Instead of creating countless versions of a document, SMASHDOCs saves all proposed changes, decisions and comments paragraph-by-paragraph in just one single document. Version chaos is now a thing of the past – finally.  Smart redlining SMASHDOCs knows which changes and comments are new to a user and automatically highlights them for him - even when multiple users are editing a document simultaneously. Cumbersome version comparisons are no longer necessary.  Smart Word integration Send out a Word document if some people don’t work with SMASHDOCs.  If you get a new Word version from them, simply re-import it into your SMASHDOCs document and save the changes.  Smart reporting Do a contract review within seconds by comparing any number of documents and creating a synopsis report showing changes to every paragraph.', 'tags': 'negotiation, word processing, document collaboration'}
WibniLabs	{'category': 'MarketPlace', 'description': 'WibniLabs helps service-focused organizations use design thinking to cost-effectively capture, conceptualize and carry out innovative ideas.'}
Vonzella	{'category': 'MarketPlace', 'description': 'Vonzella offers a high-quality directory service connecting those that have been accused of crimes (and their support networks) with Vonzella Approved service providers that can help post bail. We also offer an evolving Help Desk solution to answer common questions about the bail process. We vet the bail process so that you don’t have to. We are constantly researching and striving to build new and better products that support our communities’ right to remain free. For as long as there is a commercial bail system in the United States, we pledge to make it transparent and fairer for everyone.'}
Vakilsearch	{'category': 'Practice Management', 'description': 'Vakilsearch operates an online professional services platform for lawyers, corporate bodies, and professionals in India.', 'tags': 'Information Technology, Internet, Legal, Legal Tech, Software'}
Unified Patents	{'category': 'Practice Management', 'description': 'Unified employs a multi-faceted solution to deter abusive patent assertions.', 'tags': 'Information Technology, Intellectual Property, Legal, Legal Tech'}
Uabide	{'category': 'Practice Management', 'description': 'Uabide provides identity management.', 'tags': 'Consulting, E-Commerce, Information Technology, Legal, Legal Tech, Online Portals'}
Trail Bloom	{'category': 'Legal Education', 'description': 'Maker of the Trial Boom courtroom simulator for attorneys & students.'}
DeLeyes	{'category': 'MarketPlace', 'description': 'Lo legal hecho simple'}
TechGC	{'category': 'MarketPlace', 'description': 'TechGC is a platform for General Counsels of leading venture capital funds and high growth technology companies.', 'tags': 'Consulting, Finance, Information Technology, Legal, Legal Tech'}
Statera	{'category': 'Practice Management', 'description': '[acquired in 2013] Kick-starter for lawyers defending massive environmental damage cases'}
Contraktor	{'category': 'Document Automation', 'description': 'Electronic signature, control of deadlines and maturities for management of high performance contracts.'}
eVue Digital Labs	{'category': 'Document Automation', 'description': 'Harmonizing the physical with the digital to bring the world virtual. Including forensics.'}
IntelliLaw	{'category': 'Document Automation', 'description': 'Funds documents management and business services'}
LawGuage.com	{'category': 'E-Discovery', 'description': 'LawGuage is a discussion forum for free legal procedures, finance, government schemes, business, and tax advice.', 'tags': 'Advice, Consulting, Legal, Legal Tech'}
eEvidence	{'category': '1', 'description': 'eEvidence offers a free service to legally certify an email, its content, and its eventual delivery to third parties.', 'tags': 'Email, Legal, Legal Tech'}
ShieldMyfiles	{'category': '1', 'description': 'Better File Security'}
Casefunder	{'category': 'MarketPlace', 'description': 'Crowdfunding legal costs.'}
Legal Creatives	{'category': 'Legal Education', 'description': 'Legal Creatives consults and trains legal entrepreneurs.', 'tags': 'Continuing Education, Events, Legal, Legal Tech'}
Privatim	{'category': '2', 'description': 'Secure. Client. Communication.'}
GLC CONSULTORES	{'category': '4', 'description': 'Legal Services for Entrepreneurs'}
Lexa	{'category': '4', 'description': 'Uber for Lawyers'}
Netcog	{'category': 'MarketPlace', 'description': 'Netcog is a privately-held company that designs, develops and deploys web-based applications for a select group of private clients.', 'tags': 'Information Technology, Internet, Legal, Legal Tech, Software'}
LegalBods	{'category': 'Legal Research', 'description': 'Real world feedback for lawyers'}
Courtsdesk	{'category': 'Analytics', 'description': 'Courtdesk provides online database of court cases and reporting in Ireland.', 'tags': 'Data Integration, Law Enforcement, Legal, Legal Tech, News'}
Courtroom5	{'category': '1', 'description': 'Courtroom5 delivers access to justice to people in civil court without a lawyer.', 'tags': 'Consulting, Legal, Legal Tech, Software'}
SOLOMON Justice AI	{'category': 'Practice Management', 'description': 'Law Enforcement Software'}
Legal Innovation Paris	{'category': 'Legal Education', 'description': 'The collective Legal Innovation Paris was created in 2012 by teachers and students of the Computer Science and Law.', 'tags': 'Consulting, Information Technology, Legal, Legal Tech, Software'}
IP Metro	{'category': 'MarketPlace', 'description': 'IP Metro offers a range of online tools.', 'tags': 'Consulting, Information Technology, Legal, Legal Tech, Software'}
Rightz	{'category': 'Online Dispute Resolution', 'description': 'Siri for legal topics (Rightz).'}
Threat Resilience	{'category': 'MarketPlace', 'description': 'Next Generation MSSP'}
RovBOT	{'category': 'Document Automation', 'description': 'RovBOT is a tool to help international students with their Canadian visa process.', 'tags': 'Artificial Intelligence, Legal, Legal Tech, Software'}
soocasa	{'category': 'MarketPlace', 'description': 'Real Estate Lease Option Platform'}
Someturva	{'category': '2', 'description': 'Someturva offers free legal help for users of social media and other online platforms.', 'tags': 'Artificial Intelligence, Legal, Legal Tech, Social Assistance, Software'}
moviinn	{'category': '4', 'description': 'Relocation made simple'}
Civil Informer	{'category': '1', 'description': 'Level the Legal Industry with Artificial Intelligence'}
Pax	{'category': '8', 'description': 'Pax is a civic network and peer to peer legal system powered by Ethereum.'}
About innovation	{'category': 'MarketPlace', 'description': 'About innovation is an intangible asset management software. Our solution allows you to identify, protect and exploit your intangible assets to develop your business. Several services are included such as:  - company data import  - IP dashboard (to visualize all IP titles) - Document generator  - Electronic signature', 'tags': 'intellectual property, legal tech'}
Flex Legal	{'category': 'MarketPlace', 'description': 'Flexible resourcing for Law Firms'}
High Performance Counsel	{'category': 'MarketPlace', 'description': 'We feature the individuals, organizations & solutions driving the next decade of leadership & innovation in law. '}
NEXAW	{'category': 'Practice Management', 'description': 'Coming Soon NEXAW â\x84¢ The Start Up Legal Company'}
Online patent, LLC 	{'category': 'Practice Management', 'description': 'Online Patent is one of the market leaders in Russian intellectual property market, TOP-5 in the trademark registration segment. Since 2014 we have been developing the IT-platform for intellectual property management, that allows to completely automate most of the typical patent attorney actions. The company has strong competencies in the field of Data Analysis and Business Process Automation.  Our main product - international IT-platform for intellectual property rights management, which allows to make all actions with your patents and trademarks in 1-Click. Globally, our services are used by such companies as COFCO, FAW and Deloitte. With Online Patent, you can consolidate and simply manage all your previously registered trademarks, patents, and, also, applications that are currently being analyzed by Patent Offices in various countries. The functionality of platform includes, for example, filing of new applications, renewing of registrations and managing of IP holders.', 'tags': 'digital platform'}
Beacon Direct Cremation	{'category': '1', 'description': 'Beacon Direct Cremation is a family-owned direct cremation services offered in Tampa bay, Florida. Offering a simple and affordable alternative to traditional funeral home experience. We ensures no lies, no hidden fees, and complete transparency from the start of our conversation through the completion of the cremation arrangement process. ', 'tags': 'cremation services, direct cremation services'}
AJC Asesor fiscal y contable en Madrid	{'category': '2', 'description': 'Economista asesor fiscal, presta servicios de asesoramiento fiscal y presentación de impuestos a empresas, autónomos y particulares', 'tags': 'asesoria fiscal'}
